load_pct,mem_pct,cxl_pct,num_instrs,warm_cache_insts,main_loop_loads,main_loop_stores,host_to_switch_bpc,switch_to_host_bpc,host_link_total_bpc,host_to_switch_gbps,switch_to_host_gbps,host_link_total_gbps,total_gbps
40,100,100,4000000,200000,138283,207313,2.10958,2.91028,5.01986,5.06299,6.98468,12.0477,12.0477
50,10,100,4000000,200000,18325,18198,0.191692,0.307562,0.499254,0.46006,0.738149,1.19821,1.19821
50,20,100,4000000,200000,36535,36534,0.384569,0.615318,0.999887,0.922967,1.47676,2.39973,2.39973
50,30,100,4000000,200000,55166,54797,0.577199,0.926004,1.5032,1.38528,2.22241,3.60769,3.60769
50,40,100,4000000,200000,73603,72956,0.768639,1.23418,2.00282,1.84473,2.96203,4.80677,4.80677
50,50,100,4000000,200000,91833,91373,0.962305,1.54279,2.50509,2.30953,3.70269,6.01222,6.01222
50,60,100,4000000,200000,110169,109830,1.15646,1.85262,3.00909,2.77551,4.4463,7.2218,7.2218
50,70,100,4000000,200000,128646,128390,1.35174,2.16451,3.51626,3.24418,5.19483,8.43902,8.43902
50,80,100,4000000,200000,146995,146579,1.54337,2.4722,4.01558,3.7041,5.93329,9.63738,9.63738
50,90,100,4000000,200000,165245,165024,1.73733,2.78121,4.51854,4.16959,6.67491,10.8445,10.8445
50,100,100,4000000,200000,183172,183380,1.9301,3.08675,5.01685,4.63223,7.40821,12.0404,12.0404
60,10,100,4000000,200000,23442,15567,0.172153,0.328497,0.500649,0.413166,0.788392,1.20156,1.20156
60,20,100,4000000,200000,46756,31194,0.344739,0.656421,1.00116,0.827373,1.57541,2.40278,2.40278
60,30,100,4000000,200000,70564,46777,0.517428,0.988135,1.50556,1.24183,2.37152,3.61335,3.61335
60,40,100,4000000,200000,94033,62178,0.688037,1.31546,2.0035,1.65129,3.15711,4.80839,4.80839
60,50,100,4000000,200000,117303,77970,0.86214,1.6444,2.50654,2.06914,3.94657,6.01571,6.01571
60,60,100,4000000,200000,140820,93849,1.03733,1.97616,3.01349,2.48959,4.74278,7.23237,7.23237
60,70,100,4000000,200000,164415,109310,1.20864,2.30505,3.51369,2.90073,5.53213,8.43285,8.43285
60,80,100,4000000,200000,188023,124862,1.38082,2.63482,4.01564,3.31397,6.32357,9.63754,9.63754
60,90,100,4000000,200000,211159,140612,1.55439,2.96228,4.51667,3.73053,7.10948,10.84,10.84
60,100,100,4000000,200000,234056,156253,1.72667,3.28681,5.01348,4.144,7.88835,12.0323,12.0323
70,10,100,4000000,200000,29162,12533,0.149431,0.351116,0.500546,0.358633,0.842678,1.20131,1.20131
70,20,100,4000000,200000,58466,25109,0.299418,0.703789,1.00321,0.718603,1.68909,2.4077,2.4077
70,30,100,4000000,200000,88071,37484,0.447818,1.05731,1.50512,1.07476,2.53753,3.6123,3.6123
70,40,100,4000000,200000,117108,50014,0.597088,1.40734,2.00443,1.43301,3.37762,4.81064,4.81064
70,50,100,4000000,200000,146385,62643,0.747549,1.76024,2.50779,1.79412,4.22457,6.01868,6.01868
70,60,100,4000000,200000,175846,75291,0.898384,2.11484,3.01322,2.15612,5.07561,7.23173,7.23173
70,70,100,4000000,200000,205182,87696,1.04679,2.46634,3.51313,2.51228,5.91922,8.4315,8.4315
70,80,100,4000000,200000,234461,100453,1.19846,2.82033,4.01879,2.87631,6.76879,9.64509,9.64509
70,90,100,4000000,200000,263135,112961,1.34714,3.16712,4.51427,3.23314,7.6011,10.8342,10.8342
70,100,100,4000000,200000,292089,125528,1.49667,3.51677,5.01345,3.59202,8.44026,12.0323,12.0323
80,10,100,4000000,200000,35868,8966,0.122697,0.377549,0.500246,0.294472,0.906119,1.20059,1.20059
80,20,100,4000000,200000,71922,17903,0.245315,0.756421,1.00174,0.588755,1.81541,2.40417,2.40417
80,30,100,4000000,200000,108058,26832,0.367943,1.13592,1.50386,0.883064,2.7262,3.60926,3.60926
80,40,100,4000000,200000,143932,35821,0.490864,1.51371,2.00457,1.17807,3.6329,4.81098,4.81098
80,50,100,4000000,200000,180040,44928,0.615149,1.89447,2.50962,1.47636,4.54672,6.02308,6.02308
80,60,100,4000000,200000,215988,54069,0.739588,2.27416,3.01375,1.77501,5.45799,7.23301,7.23301
80,70,100,4000000,200000,252124,63013,0.862359,2.65379,3.51614,2.06966,6.36908,8.43875,8.43875
80,80,100,4000000,200000,287735,71962,0.984624,3.02903,4.01365,2.3631,7.26967,9.63276,9.63276
80,90,100,4000000,200000,323356,80887,1.10667,3.40415,4.51082,2.65601,8.16996,10.826,10.826
80,100,100,4000000,200000,359281,89757,1.22852,3.78137,5.00989,2.94845,9.07529,12.0237,12.0237
90,10,100,4000000,200000,43816,4840,0.0919747,0.409735,0.501709,0.220739,0.983363,1.2041,1.2041
90,20,100,4000000,200000,87513,9690,0.183919,0.818552,1.00247,0.441405,1.96452,2.40593,2.40593
90,30,100,4000000,200000,131328,14515,0.275751,1.22815,1.5039,0.661801,2.94756,3.60937,3.60937
90,40,100,4000000,200000,175134,19357,0.367734,1.63782,2.00555,0.882561,3.93077,4.81333,4.81333
90,50,100,4000000,200000,219240,24329,0.461264,2.05111,2.51237,1.10703,4.92266,6.02969,6.02969
90,60,100,4000000,200000,262750,29247,0.553656,2.45892,3.01258,1.32877,5.90141,7.23019,7.23019
90,70,100,4000000,200000,306792,33995,0.644997,2.86979,3.51478,1.54799,6.88748,8.43548,8.43548
90,80,100,4000000,200000,349846,38813,0.735961,3.27292,4.00888,1.76631,7.855,9.62131,9.62131
90,90,100,4000000,200000,393443,43628,0.827468,3.6806,4.50807,1.98592,8.83343,10.8194,10.8194
90,100,100,4000000,200000,437166,48405,0.918748,4.08902,5.00777,2.205,9.81365,12.0186,12.0186
100,10,100,4000000,200000,52968,0,0.0557558,0.446046,0.501802,0.133814,1.07051,1.20433,1.20433
100,20,100,4000000,200000,105842,0,0.111413,0.891301,1.00271,0.26739,2.13912,2.40651,2.40651
100,30,100,4000000,200000,158763,0,0.167119,1.33695,1.50407,0.401085,3.20868,3.60977,3.60977
100,40,100,4000000,200000,211815,0,0.222963,1.78371,2.00667,0.535112,4.28089,4.816,4.816
100,50,100,4000000,200000,265084,0,0.279036,2.23229,2.51132,0.669686,5.35749,6.02717,6.02717
100,60,100,4000000,200000,318090,0,0.334832,2.67865,3.01348,0.803596,6.42877,7.23236,7.23236
100,70,100,4000000,200000,370502,0,0.390002,3.12002,3.51002,0.936005,7.48804,8.42405,8.42405
100,80,100,4000000,200000,423171,0,0.445443,3.56355,4.00899,1.06906,8.55251,9.62157,9.62157
100,90,100,4000000,200000,475940,0,0.500989,4.00792,4.50891,1.20237,9.619,10.8214,10.8214
100,100,100,4000000,200000,528699,0,0.556525,4.4522,5.00873,1.33566,10.6853,12.0209,12.0209
